id,organizer_id,title,subtitle,price,duration,image,description
1,2,Burgos y las Merindades,Secretos del mundo rural,350.0,4,trips/burgos_merindades.jpg,"<p>Una salida descubriendo los secretos del mundo rural. Realizaremos excursiones como la Orbaneja de Castillo, Cañones de Ebro y San Pedro de Tejada.</p><p>El precio incluye visitas al Museo Etnográfico de Montejo de San Miguel y a la fábrica de Morcilla de Burgos.</p><p>El hotel previsto es el hotel El Valles situado en Briviesca, a tan solo 20 minutos del centro de Burgos.</p>"
2,2,Los Arribes del Duero,Escarpados cañones de 200 metros de desnivel,325.0,4,trips/arribes_duero.jpg,"<p>Descubre los Arribes del Duero y sus preciosos cañones escarpados. Durante el viaje visitaremos Zamora, Benavente y la Puebla de Sanabria y Toro</p><p>El precio incluye una degustación de vinos de Oporto y una exhibición de aves rapaces. </p><p>El hotel previsto es el Rey Don Sancho, en Zamora y próximo al centro de la ciudad</p>"
3,2,Teruel y Albarracín,Varios de los pueblos más bonitos de España,350.0,4,trips/teruel_albarracin.jpg,"<p>Esta vez nos vamos a Teruel. El viaje consta de varias excursiones como Mirambel, Mosquerela y Albarracín. </p><p> El precio incluye una visita a las catedrales de Teruel y Albarracín, y una entrada al Museo Guerra Carlistas de Cantavieja.</p><p>El hotel previsto es el Reina Cristina, situado en el centro de Teruel, el cual ha sido proclamado Patrimonio de la Humanidad por la UNESCO y alberga muchos ejemplos de arquitectura mudéjar</p>"
4,2,Benidorm,Ahora toca disfrutar,420.0,5,trips/benidorm.jpg,"<p>Toca comprar bañador porque nos vamos a Benidorm, aunque no todo va a ser playa, ya que conoceremos la ciudad de Benidorm y el Mercado Rincón de Loix. Además el precio incluye la visita a Altea. </p><p>El hotel previsto será el Med Regente situado en la ciudad de Benidorm con una valoración de 4 estrellas.</p>"
5,2,"Galicia, Rías Baixas",Especial Año Xacobeo,570.0,6,trips/galicia_baixas.jpg,"<p> Celebrando el especial del año Xacobeo hacemos las maletas para Galicia. Realizaremos excursiones a Sanxenxo, Cambados y Orense con un guía local.</p><p>El precio incluye un paseo en barco por la Ría Arousa con degustación.</p><p>El hotel previsto es el Nuevo Astur, situado en el centro de las Rías Baixas con habitaciones modernas y bien equipadas, además incluye una sesión de spa.</p>"
6,2,Asturias,Naturaleza escondida y sus costumbres,500.0,6,trips/asturias.jpg,"<p>En esta ocasión proponemos una visita a Asturias y sus preciosas tierras. Realizaremos excursiones como la Senda del Oso y el Museo de la Prehistoria de Teverga.</p><p>El precio incluye entradas para los museos de Ayalgas Silviella y Somiedo.</p><p>El hotel previsto es el Gran Hotel Cela, ubicado en la zona sur del Parque Natural de Somiedo, el cual ofrece unas vistas y un entorno impresionante</p>"
7,2,Euskadi: Mar y Montaña,¡Aupa!,544.0,6,trips/euskadi.jpg,"<p>Nos vamos a contemplar la naturaleza de Euskadi. Se realizarán excursiones como Astigarraga, Mondragón y Oñati.</p><p>El precio incluye la visita al Santuario de Estibaliz y la barcaza Portugalete.</p><p>El hotel previsto es el Balneario Areatza, rodeado de jardines y con un buffet variado. Además se incluye el acceso de una hora a su valneario, merece la pena probarlo.</p>"
8,2,Granada,El motivo para perderse,575.0,6,trips/granada.jpg,"<p>Una salida para descubrir Granada y sus maravillas. Realizaremos excursiones como la Ruta Alpujarreña, Almuñecar, La Alhambra y Guadix.</p><p>El precio incluye entradas para la Iglesia de las Angustias, el museo arqueológico de Almuñecar y un taller de jarapas.</p><p>El hotel previsto es el Urban Dream, a 10 minutos a pie de la catedral de Granada y del centro de la ciudad.</p>"
9,2,Portugal Monumental,"Castillos, Abadías y Palacios de Portugal",429.0,6,trips/portugal.jpg,"<p>El viaje de hoy es Portugal y su arquitectura. Se realizarán excursiones a Lisboa, Estoril y Cascais. </p><p>El precio incluye una entrada al monasterio Nossa Senhora de Vitóri, un paseo por las Grutas de Mira do Aire y la visita del Castillo de Almourol.</p><p>EL hotel previsto es el Hotel Recinto, un pequeño hotel situado en una zona privilegiada de Fátima, a solo 50 metros del famoso santuario de la basílica de Nuestra Señora del Rosario.</p>"
10,2,Tenerife,A la sombra del Teide,670.0,6,trips/tenerife.jpg,"<p>Nos vamos a Tenerife, así que id preparando vuestra ropa veraniega. Realizaremos excursiones como el Parque Nacional del Teide con un guía local.</p><p>El precio incluye las visitas a Villa de Candelaria y Garachico.</p><p>El hotel previsto es el Catalonia Las Vegas, situado frente a los lagos Martiánez y cuenta con unas vistas asombrosas a la montaña del Teide. </p>"
11,2,Gran Canaria,Isla para soñar sin cerrar los ojos,665.0,6,trips/gran_canaria.jpg,"<p>En esta ocasión Gran Canaria es nuestro destino. El viaje cuenta con excursiones a las Cumbres Canarias y a los Barrancos del Sur. </p><p>El precio incluye una entrada a la casa Cueva de Guayadeque.</p><p>El hotel previsto es el Green Field, un complejo moderno situado a 5 minutos de la playa del Inglés. Además, cuenta con una gran piscina al aire libre con tumbones para disfrutar las maravillosas vistas que Gran Canaria ofrece. </p>"
12,2,Berlín,La ciudad que cambió el mundo,934.0,5,trips/berlin.jpg,"<p>Inauguramos nuestra sección de salidas europeas con la ciudad de Berlín. Realizaremos visitas  a Dresde y Barrio Judío con guía local.</p><p>El precio incluye  una entrada al Museo Pérgamo y a Postdam.</p><p>El hotel previsto es el Grand City East, el cual cuenta con una valoración de 4 estrellas.</p>"
13,2,Praga,Ciudad de cuentos y leyendas,940.0,5,trips/praga.jpg,"<p>Próxima parada Praga, abróchense los cinturones. Realizaremos  excursiones de día completo como la panorámica de Praga. </p><p>El precio incluye un paseo por Praga Iluminada y una pequeña travesía en barco por río Moldava. </p><p>El hotel previsto  es el Duo, el cual alberga un restaurante de estilo rústico y su estación de metro está situada a 10 minutos del centro de la ciudad. </p>"
14,2,Roma,La ciudad eterna,955.0,5,trips/roma.jpg,"<p>Nos vamos a visitar la ciudad italiana de Roma. El viaje cuenta con excursiones como la Plaza de España, Roma Cristiana y la escalinata Trinita dei Monti.</p><p>El precio incluye una entrada a las catacumbas y un paseo por la Roma Barroca. </p><p>El hotel previsto es el Fleming, a 10 minutos en coche del estadio olímpico de Auditorium y del foro itálico. </p>"
15,2,Madeira,El paraíso de las flores,1224.0,8,trips/madeira.jpg,"<p>Inauguramos nuestra sección de salidas de media distancia con Madeira. Realizaremos excursiones de día completo como la del Cabo Girao y Encumeda. </p><p>El precio incluye las visitas a Funchal y al mirador de Pico dos Barcelos. Otras visitas opcionales son el Jardín Tropical y una cena típica Madeirense.</p><p>El hotel previsto es el Jardins da Ajuda, un complejo que ofrece excelentes piscinas cubiertas y al aire libre con maravillosas vistas. </p>"
16,2,Londres y París,Distinas pero imprescindibles,1495.0,8,trips/londres_paris.jpg,"<p>Siguientes paradas europeas son la de Londres y París, dos de las ciudades más preciosas que Europa ofrece. Se realizarán excursiones en ambas ciudades con guía local y pudiendo entrar en las distintas zonas comerciales que ofrecen. </p><p>El precio incluye la entrada al museo Británico y al museo del Perfume, aunque también dispondremos de excursiones opcionales para aquellos interesados como el Castillo Windsor y el Palacio de Versalles. </p><p> Los hoteles contemplados son el Jurys Inn Croydon de Londres y el Hill Paris Meudon.</p>"
17,2,Tirol y Baviera,Mucho más que chocolate y relojes de cuco,1165.0,8,trips/tirol_baviera.jpeg,"<p>Una salida para descubrir la naturaleza y paisajes de Tirol. Realizaremos excursiones como la de Salzburgo y una visita al Lago Achensee. </p><p>El precio incluye una entrada a la Fábrica Swarovski y al palacio de Hogburg. </p><p>El hotel previsto es el Krone Oberperfuss, con una valoración de 3 estrellas y unos días después nos alojaremos en el Austria Trend Mitte para visitar Salzburgo.</p>"
18,2,Joyas de Polonia,Vive un gran cuento,1349.0,8,trips/polonia.jpg,"<p>Próxima parada Polonia, una de las ciudades más preciosas de Europa. Realizaremos excursiones a Poznan y Auschwitz con guía local. </p><p>El precio incluye una entrada al campo de concentración de Auschwitz y una visita a la mina de sal de Wieliczka. </p><p>El hotel previsto es el Ibis Centrum, situado en la ciudad de Poznan.</p>"
19,2,Transilvania y Rumanía,El jardín de los cárpatos,1145.0,8,trips/transilvania.jpg,"<p>Nuestro próximo viaje es descubrir la preciosa Rumanía, concretamente las leyendas de Transilvania. Realizaremos excursiones a Sinaia y Sibiu con guía local. </p><p>El precio incluye la entrada al palacio de Peles y al castillo de Bran.</p><p>El hotel previsto es el Ibis Styles Bucharest Center, situado en la ciudad de Bucarest con una valoración de 4 estrellas.</p>"
